Date,Player,Club Name,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity
,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[m],[Yards],[deg],[Yards],[Yards],[deg],[Yards],,,[g/L],[deg F],[kPa],[%]
1/8/26 5:00:06 PM,Joe,,5 Iron,80.35075161059413,-8.99,5.67,18.33,12.659999999999998,98.22387224277942,1.2224387485359718,24.649999618530273,15.770000457763672,8955.94921875,-2834.114013671875,9393.6796875,Measured,17.559999465942383,25.700000762939453,121.57698837373722,27.09000015258789,55.36964246294317,122.84558380474047,27.1299991607666,56.01487447583457,,,1.1586727,69.998,98.4,56
1/8/26 5:00:15 PM,Joe,,5 Iron,90.77487473156765,6.58,-4.02,3.99,8.01,105.51628080025347,1.1623952234831274,14.890000343322754,2.7699999809265137,5199.255859375,-1558.862548828125,5427.919921875,Measured,16.690000534057617,16.90999984741211,140.51837871080934,9.899999618530273,24.157917927152113,151.5091790093316,10.359999656677246,27.241907094720155,,,1.1586727,69.998,98.4,56
1/8/26 5:00:22 PM,Joe,,5 Iron,93.52630637079457,5.57,-5.48,12.24,17.72,97.93306813550662,1.0471178851781122,24.440000534057617,9.369999885559082,7998.70849609375,-2179.198486328125,8290.25,Measured,15.239999771118164,25.81999969482422,122.68154014126836,18.149999618530273,38.22178561126362,126.72790600767495,18.280000686645508,39.74190742846445,,,1.1586727,69.998,98.4,56
1/8/26 5:00:43 PM,Joe,,5 Iron,89.54455977093772,0.61,-4.99,4.23,9.22,110.16911238367932,1.2303272545590807,18.139999389648438,2.8499999046325684,7068.67333984375,-1026.16845703125,7142.77001953125,Measured,8.260000228881836,25.450000762939453,147.33158488703316,7.429999828338623,19.039807357187346,153.77296654675368,7.550000190734863,20.199036869372804,,,1.1586727,69.998,98.4,56
1/8/26 5:04:27 PM,Joe,,9 Iron,75.98872584108804,3.0,-11.72,-8.14,3.58,86.03256774443597,1.1321754219744673,30.979999542236328,-8.149999618530273,6486.3017578125,-370.5903625488281,6496.8798828125,Estimated,3.2699999809265137,25.790000915527344,107.808400952597,-7.869999885559082,-14.763779527559056,110.42213606813553,-7.809999942779541,-15.004374745219607,,,1.1586727,69.998,98.4,56
1/8/26 5:04:36 PM,Joe,,9 Iron,77.57695060844667,-1.79,0.12,6.84,6.72,81.06657497867484,1.0449827473606343,34.86000061035156,5.630000114440918,4829.3564453125,-1804.6617431640625,5155.52978515625,Estimated,20.489999771118164,25.06999969482422,98.49081097833962,13.800000190734863,23.50174953096912,104.34164879933222,14.09000015258789,25.40463641976851,,,1.1586727,69.998,98.4,56
1/8/26 5:04:42 PM,Joe,,9 Iron,81.13367931281319,0.0,-9.6,1.5,11.1,89.70114189808763,1.1055968699785246,32.02000045776367,0.029999999329447746,4962.2744140625,175.02072143554688,4965.35986328125,Measured,-2.0199999809265137,28.780000686645508,118.41644660902983,-0.800000011920929,-1.6513560700604297,122.17847902526589,-0.8199999928474426,-1.7497813034141054,,,1.1586727,69.998,98.4,56
1/8/26 5:04:51 PM,Joe,,9 Iron,83.03507516105941,4.5,-5.86,6.73,12.59,86.70364692540534,1.044180989265442,33.75,4.789999961853027,4279.11474609375,-1044.7183837890625,4404.7998046875,Estimated,13.720000267028809,27.90999984741211,114.2497826123175,10.649999618530273,21.117672206848624,118.55862167772241,10.760000228881836,22.14566929133858,,,1.1586727,69.998,98.4,56
1/8/26 5:04:58 PM,Joe,,9 Iron,80.0823192555476,0.0,-0.9,-4.66,-3.7600000000000002,95.40533626941416,1.1913408247452208,30.850000381469727,-3.940000057220459,4729.669921875,189.1363525390625,4733.4501953125,Measured,-2.2899999618530273,31.229999542236328,126.87008107636753,-5.480000019073486,-12.106298878854133,133.95669057717578,-5.46999979019165,-12.77340365832872,,,1.1586727,69.998,98.4,56
1/8/26 5:05:05 PM,Joe,,9 Iron,82.56531853972798,4.63,-2.09,9.41,11.5,86.88260592472237,1.052289356613056,36.470001220703125,7.460000038146973,6682.140625,-1035.6441650390625,6761.919921875,Estimated,8.8100004196167,30.979999542236328,101.33421222890351,12.680000305175781,22.233158271769526,104.59317518552979,12.6899995803833,22.987752031675058,,,1.1586727,69.998,98.4,56
