Date,Player,Club Name,Brand/Model,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Target Total Distance,Target Carry Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,Back Stroke Length,Target Backswing Time,Target Downswing Time,Forward Stroke Length,Backswing Time,Downswing Time,Target Tempo,Swing Tempo
,,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[m],[Yards],[deg],[Yards],[Yards],[deg],[Yards],[Yards],[Yards],,,[g/L],[deg F],[kPa],[%],[Inches],[sec],[sec],[Inches],[sec],[sec],,
3/1/26 10:21:56 AM,Joe,,,3 Hybrid,91.75912670007159,-5.2,-0.78,2.51,3.29,131.1963169422846,1.4297903833710117,14.350000381469727,1.9700000286102295,7027.91943359375,-1114.3704833984375,7115.72021484375,Estimated,9.010000228881836,31.489999771118164,181.4523164577267,7.699999809265137,24.300086738139207,185.36745406824147,7.769999980926514,25.076553264627933,,,,,1.1779208,64.004,98.77,52,,,,,1218.0,135.0,,9.0
3/1/26 10:22:05 AM,Joe,,,3 Hybrid,89.18664996420901,0.14,-3.0,-0.97,2.0300000000000002,133.9701131658206,1.5021319134599558,13.039999961853027,-1.1799999475479126,4135.1103515625,-1666.496826171875,4458.2900390625,Measured,21.950000762939453,25.34000015258789,200.72177743452846,9.710000038146973,33.84733241791279,208.44270133805296,10.069999694824219,36.46106753345133,,,,,1.1779208,64.004,98.77,52,,,,,1156.0,157.0,,7.400000095367432
3/1/26 10:22:32 AM,Joe,,,3 Hybrid,95.0697924123121,1.94,-1.36,4.02,5.38,127.23693868136013,1.3383529663085938,11.420000076293945,3.130000114440918,8055.22119140625,-1506.03857421875,8194.7998046875,Measured,10.59000015258789,25.06999969482422,167.79308035409147,9.729999542236328,28.357393159641056,173.81890030774963,9.890000343322754,29.85564221025869,,,,,1.1779208,64.004,98.77,52,,,,,1231.0,134.0,,9.199999809265137
3/1/26 10:22:42 AM,Joe,,,3 Hybrid,95.31585540443808,0.02,-4.51,-3.12,1.3899999999999997,120.72745441281121,1.2666041121967409,14.09000015258789,-3.130000114440918,4356.0849609375,-602.9069213867188,4397.60986328125,Measured,7.880000114440918,22.610000610351562,174.56254934075625,0.23999999463558197,0.7217848055840373,186.95319001338822,0.4699999988079071,1.541994714152886,,,,,1.1779208,64.004,98.77,52,,,,,1122.0,135.0,,8.300000190734863
3/1/26 10:24:25 AM,Joe,,,3 Hybrid,100.17000715819614,3.35,0.16,1.61,1.4500000000000002,140.3230125765845,1.4008485828994266,15.380000114440918,1.340000033378601,2642.146240234375,247.8954315185547,2653.75,Estimated,-5.360000133514404,30.510000228881836,238.81233061809658,-0.8600000143051147,-3.587051587259154,248.32677966340634,-0.9399999976158142,-4.079177623658668,,,,,1.1779208,64.004,98.77,52,,,,,1285.0,148.0,,8.699999809265137
3/1/26 10:25:20 AM,Joe,,,3 Hybrid,102.54115962777381,0.44,-0.73,5.9,6.630000000000001,135.40175102741784,1.3204624515553418,16.559999465942383,4.75,3140.97607421875,-1368.34326171875,3426.090087890625,Measured,23.540000915527344,30.079999923706055,208.5083154659989,15.8100004196167,56.79133891642146,222.03630662652765,16.389999389648438,62.65310686300016,,,,,1.1779208,64.004,98.77,52,,,,,1208.0,145.0,,8.300000190734863
3/1/26 10:26:14 AM,Joe,,,3 Hybrid,101.42269148174661,-2.24,-2.23,3.73,5.96,128.9593806502302,1.271504224214356,17.200000762939453,2.7799999713897705,4783.73974609375,-1738.302490234375,5089.77978515625,Estimated,19.969999313354492,31.399999618530273,184.89720835981927,13.619999885559082,43.536746908673464,194.5209920354194,14.039999961853027,47.17847702280013,,,,,1.1779208,64.004,98.77,52,,,,,54.0,55.0,,1.0
3/1/26 10:27:54 AM,Joe,,,3 Hybrid,96.70275590551181,1.21,-2.75,4.9,7.65,123.05386167128938,1.2724959130588296,18.670000076293945,3.680000066757202,3392.6015625,306.9599304199219,3406.4599609375,Measured,-5.170000076293945,30.020000457763672,189.51224112656695,1.7300000190734863,5.71959757116523,202.17628512378334,1.5800000429153442,5.555555472119482,,,,,1.1779208,64.004,98.77,52,,,,,1325.0,160.0,,8.300000190734863
3/1/26 10:28:24 AM,Joe,,,3 Hybrid,104.53203292770222,3.31,-4.75,3.44,8.19,139.15980468072803,1.331264692584478,15.380000114440918,2.2300000190734863,6827.9052734375,-2307.13427734375,7207.16015625,Measured,18.670000076293945,36.13999938964844,190.50743323298576,14.449999809265137,47.55030571110709,194.24758871083498,14.609999656677246,48.98294063377881,,,,,1.1779208,64.004,98.77,52,,,,,1144.0,185.0,,6.199999809265137
3/1/26 10:29:27 AM,Joe,,,3 Hybrid,101.2661059413028,-1.75,-4.06,2.16,6.22,138.35450625027087,1.3662469289622508,14.210000038146973,1.2699999809265137,3717.5634765625,-1655.1658935546875,4069.3798828125,Measured,24.0,28.40999984741211,206.496071001989,13.050000190734863,46.620736076241506,219.33508044465634,13.680000305175781,51.88101337129154,,,,,1.1779208,64.004,98.77,52,,,,,50.0,51.0,,1.0
